root_word,meaning_en,meaning_vi
understand,"to know or realize the meaning of words, a language, what somebody says, etc.",hiểu biết
unique,being the only one of its kind,độc đáo
up,towards or in a higher position,lên trên
upon,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),trên (trang trọng)
urge,to advise or try hard to persuade somebody to do something,thúc giục
use,the act of using something; the state of being used,sử dụng
usual,that happens or is done most of the time or in most cases,thông thường
vague,not clear in a person’s mind,mơ hồ
valid,that is legally or officially acceptable,hợp lệ
value,how much something is worth in money or other goods for which it can be exchanged,giá trị
vary,"to be different from each other in size, shape, etc.","thay đổi, đa dạng"
vast,"extremely large in area, size, amount, etc.",rộng lớn
vehicle,"a thing that is used for transporting people or goods from one place to another, such as a car or lorry",phương tiện
venture,"a business project or activity, especially one that involves taking risks",mạo hiểm
verse,"writing that is arranged in lines, often with a regular rhythm or pattern of rhyme",câu thơ
vertical,"going straight up or down from a level surface or from top to bottom in a picture, etc.",thẳng đứng
very,used to emphasize that you are talking about a particular thing or person and not about another,rất
viable,that can be done; that will be successful,khả thi
vice,criminal activities that involve sex or drugs,"phó (chức vụ), thói xấu"
vicious,violent and cruel,hung ác
victim,"a person who has been attacked, injured or killed as the result of a crime, a disease, an accident, etc.",nạn nhân
video,"a system of recording moving pictures and sound, either using a digital method of storing data or (in the past) using videotape",video
view,"what you can see from a particular place or position, especially beautiful countryside","quan điểm, tầm nhìn"
village,a very small town located in a country area,làng quê
virtual,"made to appear to exist by the use of computer software, for example on the internet","ảo, gần như"
virtue,behaviour or attitudes that show high moral standards,đức hạnh
visit,an occasion or a period of time when somebody goes to see a place or person and spends time there,thăm viếng
vital,necessary or essential in order for something to succeed or exist,thiết yếu
voice,the sound or sounds produced through the mouth by a person speaking or singing,giọng nói
volume,the amount of space that an object or a substance fills; the amount of space that a container has,"âm lượng, khối lượng"
vote,a formal choice that you make in an election or at a meeting in order to choose somebody or decide something,bỏ phiếu
vow,to make a formal and serious promise to do something or a formal statement that is true,lời thề
vulnerable,weak and easily hurt physically or emotionally,dễ tổn thương
wage,"a regular amount of money that you earn, usually every week or every month, for work or services",tiền lương
wait,an act of waiting; an amount of time waited,chờ đợi
wake,to stop sleeping; to make somebody stop sleeping,thức dậy
walk,"a journey on foot, usually for pleasure or exercise",đi bộ
wall,"a long, solid structure that rises straight up from the ground, made of stone, brick or concrete, that surrounds, divides or protects an area of land",bức tường
wander,"to walk slowly around or to a place, often without any particular sense of purpose or direction",lang thang
want,to have a desire or a wish for something/somebody,muốn
war,a situation in which two or more countries or groups of people fight against each other over a period of time,chiến tranh
ward,a separate room or area in a hospital for people with the same type of medical condition,"khu bệnh viện, phường"
