root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
whisper,verb,"to speak very softly, using one's breath rather than one's voice","thì thầm, nói nhỏ",không,,Root gốc
wound,verb,"past tense and past participle of 'wind' -- to turn, coil, or wrap something around","(dạng quá khứ của 'wind') cuộn, quấn, lên dây",không,,Root gốc
afraid,adjective,feeling fear or anxiety; frightened,"sợ hãi, lo sợ",không,,Root gốc
situate,verb,to place something in a particular position or context,"đặt vào vị trí, tọa lạc",không,,Root gốc
skull,noun,the bony framework enclosing the brain; the skeleton of the head,hộp sọ,không,,Root gốc
slogan,noun,"a short, striking or memorable phrase used in advertising or politics",khẩu hiệu,không,,Root gốc
smash,verb,"to break violently into pieces, typically with force and noise","đập vỡ, đập tan",không,,Root gốc
crown,noun,an ornamental headdress worn by a monarch as a symbol of authority,vương miện,không,,Root gốc
among,preposition,"surrounded by, or in the company or group of","giữa, trong số",không,,Root gốc
analysis,noun,a detailed examination of the elements or structure of something,sự phân tích,không,,Root gốc
ancient,adjective,belonging to the very distant past; very old,"cổ đại, cổ xưa",không,,Root gốc
angry,adjective,feeling or showing strong displeasure or hostility,"tức giận, giận dữ",không,,Root gốc
ankle,noun,the joint connecting the foot with the leg,mắt cá chân,không,,Root gốc
annoy,verb,to irritate someone or make them slightly angry,"làm phiền, gây khó chịu",không,,Root gốc
welcome,verb,to greet someone's arrival with pleasure; gladly received,"chào đón, hoan nghênh",không,,Root gốc
when,adverb,at what time; at or during the time that,"khi nào, khi mà",không,,Root gốc
bio,,life,"sự sống, sự sinh trưởng",có,,Root gốc
tele,,"far, at a distance","xa, ở khoảng cách xa",có,,Root gốc
logy,,"study, science, discourse","môn học, khoa học, sự nghiên cứu",có,,Root gốc
hydro,,water,nước,có,,Root gốc
logist,,one who studies or practices a specified field,"người nghiên cứu, chuyên gia trong một lĩnh vực",có,,Root gốc
eco,,"house, household; by extension, environment or habitat","nhà, môi trường, hệ sinh thái",có,,Root gốc
geo,,earth,"trái đất, địa",có,,Root gốc
graph,,"to write, draw, or record","viết, vẽ, ghi lại",có,gram,Root gốc
smith,noun,a craftsperson who works with metal or a specified material,"thợ thủ công, người làm nghề rèn hoặc chế tác một loại vật liệu",không,,Root gốc
therapy,noun,treatment intended to relieve or heal a disorder,"liệu pháp, phương pháp điều trị",không,,Root gốc
graphy,,"the process or art of writing, recording, or describing","quá trình hoặc nghệ thuật viết, ghi chép, mô tả",có,"graph, gram",Root gốc
thermo,,heat,nhiệt,có,,Root gốc
ache,noun,a continuous dull pain,"cơn đau âm ỉ, kéo dài",không,,Root gốc
neuro,,nerve,dây thần kinh,có,,Root gốc
gram,,"something written, drawn, or recorded",cái được viết ra hoặc ghi lại,có,graph,Root gốc
cardio,,heart,tim,có,,Root gốc
micro,,small,"nhỏ, nhỏ bé",có,,Root gốc
socio,,"society, companion",xã hội,có,,Root gốc
philo,,"loving, fond of","yêu thích, ưa chuộng",có,,Root gốc
psycho,,"mind, soul","tâm trí, tinh thần",có,,Root gốc
meter,noun,an instrument for measuring and recording a quantity,dụng cụ đo lường,không,,Root gốc
maker,noun,a person or thing that makes or produces something,"người hoặc vật tạo ra, chế tạo ra thứ gì đó",không,,Root gốc
aero,,air,không khí,có,,Root gốc
agri,,"field, land","đất, ruộng đồng",có,,Root gốc
science,noun,the systematic study of the physical and natural world,khoa học,không,,Root gốc
electro,,"electric, electricity",điện,có,,Root gốc
friendly,adjective,"kind and pleasant; favorable, not harmful","thân thiện, có thiện cảm, không gây hại",không,,Root gốc
logical,,relating to a field of study (adjective-forming from '-logy'),"thuộc về, liên quan đến một ngành khoa học hay nghiên cứu",có,,Root gốc
multi,,"many, much",nhiều,có,,Root gốc
zoo,,animal,động vật,có,,Root gốc
physio,,"nature, physical, body","tự nhiên, thể chất, cơ thể",có,,Root gốc
synthesis,noun,the combination of components to form a connected whole,sự tổng hợp,không,,Root gốc
ware,noun,"manufactured articles of a specified kind, goods","hàng hóa, đồ vật thường thuộc một loại nhất định",không,,Root gốc
demo,,people,"nhân dân, con người",có,,Root gốc
cyber,,"relating to computers, the Internet, and virtual reality","liên quan đến máy tính, mạng Internet, không gian ảo",có,,Root gốc
chrono,,time,thời gian,có,,Root gốc
nomy,,"law, managing, ordering of a system","luật lệ, sự quản lý, trật tự",có,,Root gốc
path,,"suffering, feeling, disease","sự đau khổ, cảm giác, bệnh tật",có,pathy,Root gốc
phono,,"sound, voice","âm thanh, tiếng nói",có,phone,Root gốc
ple,,"fold, times (a multiplying suffix)","gấp, lần, chỉ số lần nhân lên",có,,Root gốc
electric,adjective,"relating to, powered by, or producing electricity","thuộc về điện, chạy bằng điện",không,,Root gốc
crat,,"ruler, one who holds power in a specified system","người cai trị, người nắm quyền",có,cracy,Root gốc
cultural,adjective,relating to the culture of a society,thuộc về văn hóa,không,,Root gốc
milli,,one thousandth; thousand,"một phần nghìn, nghìn",có,,Root gốc
jay,noun,"a noisy, brightly colored bird of the crow family","một loài chim ồn ào, lông sặc sỡ thuộc họ quạ",không,,Root gốc
cracy,,"rule, government, power","sự cai trị, quyền lực, chính thể",có,crat,Root gốc
physics,noun,"the branch of science concerned with matter, energy, and their interactions",vật lý học,không,,Root gốc
thunder,noun,the loud noise that accompanies a flash of lightning,tiếng sấm,không,,Root gốc
web,noun,a network of interconnected things; the Internet,"mạng lưới, mạng Internet",không,,Root gốc
phobia,noun,an extreme or irrational fear of something,"chứng sợ hãi quá mức, nỗi ám ảnh sợ",không,,Root gốc
pathy,,"feeling; suffering, disease","cảm giác; sự đau khổ, bệnh tật",có,path,Root gốc
phone,noun,a telephone; a device for transmitting or reproducing sound,"điện thoại, thiết bị truyền hoặc phát âm thanh",không,,Root gốc
stereo,,"solid, firm, three-dimensional","rắn chắc, ba chiều",có,,Root gốc
source,noun,"a place, person, or thing from which something originates","nguồn gốc, nguồn",không,,Root gốc
lysis,,"loosening, breaking down, dissolution","sự phân hủy, phân giải, tan rã",có,,Root gốc
keeper,noun,"a person who guards, manages, or is in charge of something","người trông coi, quản lý, bảo vệ",không,,Root gốc
chemo,,chemical,"hóa học, hóa chất",có,,Root gốc
archaeo,,ancient,"cổ, cổ xưa",có,,Root gốc
biography,noun,an account of a person's life written by someone else,tiểu sử,không,,Root gốc
berry,noun,"a small, roundish, juicy fruit without a stone",quả mọng,không,,Root gốc
backer,noun,a person who gives financial or moral support to something,"người ủng hộ, người tài trợ",không,,Root gốc
diversity,noun,the state of being diverse; a range of different things,sự đa dạng,không,,Root gốc
fore,,"before, in front of, earlier","trước, phía trước, trước đó",có,,Root gốc
fighter,noun,a person or thing that fights,"người hoặc vật chiến đấu, người đấu tranh",không,,Root gốc
felt,verb,experienced or expressed sincerely (past tense/participle of 'feel'),"đã cảm nhận, đã trải qua (dạng quá khứ của 'feel')",không,,Root gốc
ethics,noun,moral principles that govern behavior,"đạo đức học, các nguyên tắc đạo đức",không,,Root gốc
esteem,noun,respect and admiration felt or shown for someone,"sự kính trọng, quý mến",không,,Root gốc
economic,adjective,relating to economics or the economy,thuộc về kinh tế,không,,Root gốc
chemistry,noun,the branch of science dealing with substances and their reactions,hóa học,không,,Root gốc
brow,noun,"the forehead, or the ridge of hair above the eye","trán, hoặc lông mày phía trên mắt",không,,Root gốc
nomic,,"law, custom, or management (from Greek 'nomos')","quy tắc, quản lý, trật tự",có,"nomy, nom",Root gốc
nautics,,"sailing, navigation, ships","hàng hải, đi biển, tàu thuyền",có,"naut, nautical",Root gốc
medical,adjective,relating to the science or practice of medicine,"thuộc về y học, y khoa",không,,Root gốc
mat,noun,a piece of thick material laid on a floor,"tấm thảm, tấm lót sàn",không,,Root gốc
marketing,noun,the activity of promoting and selling products or services,hoạt động tiếp thị,không,,Root gốc
magnetic,adjective,having the properties of a magnet; relating to magnetism,"có từ tính, thuộc về từ trường",không,,Root gốc
knuckle,noun,"a joint of the finger, especially where it meets the hand","khớp ngón tay, đốt ngón tay",không,,Root gốc
lake,noun,a large body of water surrounded by land,hồ,không,,Root gốc
kilo,noun,"a unit prefix meaning one thousand; informally, a kilogram",nghìn (tiền tố đơn vị); thông tục chỉ ki-lô-gam,không,,Root gốc
frost,noun,a deposit of ice crystals formed in freezing weather,"sương giá, băng giá",không,,Root gốc
haul,verb,to pull or drag something with effort,"kéo, lôi, vận chuyển",không,,Root gốc
jaw,noun,either of the bony structures forming the mouth's framework,"hàm, quai hàm",không,,Root gốc
